Run,Agent_id,Agent_kind,Path_length,x_position,y_position,last_movement_direction,n_eaten
0,720,mouse,0,584,1214,0,0
0,720,mouse,1,520,1150,NW,0
0,720,mouse,2,584,1086,SW,0
0,720,mouse,3,584,1087,E,0
0,870,cat,0,355,1020,0,0
0,870,cat,1,363,1028,NW,0
0,870,cat,2,372,1037,NW,0
0,870,cat,3,370,1039,SW,0
0,870,cat,4,370,1041,W,1
0,870,cat,5,398,1013,NE,1
0,870,cat,6,404,1007,NE,1
0,870,cat,7,399,1002,SE,2
0,128,mouse,0,694,807,0,0
0,128,mouse,1,695,806,SW,0
0,128,mouse,2,696,805,SW,0
0,128,mouse,3,697,804,SW,0
0,128,mouse,4,696,803,NW,0
0,128,mouse,5,695,802,NW,0
0,128,mouse,6,696,801,SW,0
0,128,mouse,7,737,842,SE,0
0,1347,cat,0,421,379,0,0
0,1347,cat,1,440,360,NE,0
0,1347,cat,2,433,353,SE,1
0,1347,cat,3,464,322,NE,1
0,1347,cat,4,477,335,NW,1
0,1347,cat,5,480,338,NW,1
0,1347,cat,6,481,339,NW,2
0,1347,cat,7,518,302,NE,2
0,881,mouse,0,991,225,0,0
0,881,mouse,1,996,230,NW,0
0,881,mouse,2,430,624,N,1
0,881,mouse,3,429,623,NW,1
0,881,mouse,4,422,630,NE,1
0,881,mouse,5,422,629,W,1
0,1111,cat,0,618,922,0,0
0,1111,cat,1,618,907,E,1
0,1111,cat,2,627,916,NW,1
0,1111,cat,3,634,923,NW,1
0,1111,cat,4,597,886,SE,1
0,1111,cat,5,575,908,SW,1
0,1111,cat,6,561,894,SE,1
0,1111,cat,7,555,888,SE,2
0,1133,mouse,0,333,981,0,0
0,1133,mouse,1,332,982,NE,0
0,1133,mouse,2,314,964,NW,0
0,1133,mouse,3,332,946,SW,0
0,1133,mouse,4,314,928,NW,0
0,1133,mouse,5,332,910,SW,0
0,1133,mouse,6,350,892,SW,0
0,1133,mouse,7,368,874,SW,0
0,1085,cat,0,771,417,0,0
0,1085,cat,1,782,428,NW,0
0,1085,cat,2,779,431,SW,1
0,1085,cat,3,799,451,NW,1
0,1085,cat,4,779,471,SW,1
0,1085,cat,5,759,491,SW,1
0,1085,cat,6,739,511,SW,1
0,1085,cat,7,722,528,SW,1
0,929,mouse,0,793,227,0,0
0,929,mouse,1,792,226,NW,0
0,929,mouse,2,791,225,NW,0
0,929,mouse,3,790,224,NW,0
0,686,cat,0,144,922,0,0
0,686,cat,1,148,918,NE,0
0,686,cat,2,156,910,NE,0
0,686,cat,3,133,933,SW,0
0,686,cat,4,136,936,NW,1
0,686,cat,5,150,950,NW,1
0,686,cat,6,148,952,SW,2
0,686,cat,7,148,956,W,3
0,1168,mouse,0,428,1329,0,0
0,1168,mouse,1,429,1330,SE,0
