Run,Agent_id,Agent_kind,Path_length,x_position,y_position,last_movement_direction,n_eaten
0,720,mouse,0,734,1287,0,0
0,720,mouse,1,735,1286,SW,0
0,720,mouse,2,777,1328,SE,0
0,720,mouse,3,786,1337,NW,0
0,720,mouse,4,787,1336,SW,0
0,720,mouse,5,788,1335,SW,0
0,720,mouse,6,787,1334,NW,0
0,720,mouse,7,788,1333,SW,0
0,870,cat,0,112,247,0,0
0,870,cat,1,96,231,SE,0
0,870,cat,2,98,229,NE,1
0,870,cat,3,77,208,SE,1
0,870,cat,4,128,157,NE,1
0,870,cat,5,92,121,SE,1
0,870,cat,6,76,105,SE,1
0,870,cat,7,25,54,SE,1
0,128,mouse,0,795,229,0,0
0,128,mouse,1,804,238,NW,0
0,128,mouse,2,1158,348,NE,1
0,128,mouse,3,1132,374,NE,1
0,128,mouse,4,1124,366,SE,1
0,128,mouse,5,861,678,SW,2
0,128,mouse,6,862,679,SE,2
0,128,mouse,7,861,680,NE,2
0,1347,cat,0,903,901,0,0
0,1347,cat,1,883,881,SE,0
0,1347,cat,2,870,894,SW,0
0,1347,cat,3,879,903,NW,0
0,1347,cat,4,905,877,NE,0
0,1347,cat,5,930,902,NW,0
0,1347,cat,6,881,951,SW,1
0,1347,cat,7,881,952,W,1
0,881,mouse,0,1036,346,0,0
0,881,mouse,1,1015,367,NE,0
0,881,mouse,2,1014,366,NW,0
0,881,mouse,3,1015,365,SW,0
0,881,mouse,4,1015,364,W,0
0,1111,cat,0,268,1325,0,0
0,1111,cat,1,272,1329,NW,0
0,1111,cat,2,269,1332,SW,0
0,1111,cat,3,270,1333,NW,1
0,1111,cat,4,310,1373,NW,1
0,1111,cat,5,294,1389,SW,1
0,1111,cat,6,320,1363,NE,1
0,1111,cat,7,360,1403,NW,1
0,1133,mouse,0,760,698,0,0
0,1133,mouse,1,744,714,SW,0
0,1133,mouse,2,750,720,NW,0
0,1133,mouse,3,650,107,W,1
0,1133,mouse,4,651,108,SE,1
0,1133,mouse,5,650,109,NE,1
0,1133,mouse,6,649,110,NE,1
0,1133,mouse,7,650,110,S,1
0,1085,cat,0,944,410,0,0
0,1085,cat,1,921,433,SW,0
0,1085,cat,2,908,446,SW,0
0,1085,cat,3,920,458,NW,1
0,1085,cat,4,885,493,SW,1
0,1085,cat,5,893,501,NW,1
0,1085,cat,6,890,504,SW,2
0,1085,cat,7,869,483,SE,2
0,929,mouse,0,902,286,0,0
0,929,mouse,1,907,281,SW,0
0,929,mouse,2,908,280,SW,0
0,929,mouse,3,915,287,SE,0
0,686,cat,0,122,350,0,0
0,686,cat,1,113,341,SE,0
0,686,cat,2,135,363,NW,0
0,686,cat,3,156,342,NE,1
0,686,cat,4,177,363,NW,1
0,686,cat,5,181,359,NE,1
0,686,cat,6,199,341,NE,1
0,686,cat,7,200,342,NW,1
0,1168,mouse,0,684,399,0,0
0,1168,mouse,1,683,400,NE,0
0,1168,mouse,2,682,401,NE,0
0,1168,mouse,3,683,402,SE,0
0,255,cat,0,17,998,0,0
0,255,cat,1,1,1014,SW,0
0,255,cat,2,1181,1034,SW,0
0,255,cat,3,1189,1042,NW,0
0,255,cat,4,1189,1044,W,1
