Run,Agent_id,Agent_kind,Path_length,x_position,y_position,last_movement_direction,n_eaten
0,0,mouse,0,584,1214,0,0
0,0,mouse,1,520,1150,NW,0
0,0,mouse,2,584,1086,SW,0
0,0,mouse,3,597,1073,SW,0
0,800,cat,0,219,1346,0,0
0,800,cat,1,250,1377,NW,0
0,800,cat,2,247,1380,SW,0
0,800,cat,3,247,1413,W,1
0,800,cat,4,273,1439,NW,1
0,800,cat,5,239,1473,SW,1
0,800,cat,6,273,7,NW,1
0,800,cat,7,306,40,NW,1
0,1,mouse,0,694,807,0,0
0,1,mouse,1,695,806,SW,0
0,1,mouse,2,694,805,NW,0
0,801,cat,0,602,486,0,0
0,801,cat,1,617,501,NW,0
0,801,cat,2,612,506,SW,0
0,801,cat,3,612,508,W,1
0,801,cat,4,608,512,SW,2
0,801,cat,5,607,513,SW,2
0,801,cat,6,629,535,NW,2
0,801,cat,7,638,544,NW,2
0,2,mouse,0,991,225,0,0
0,2,mouse,1,996,230,NW,0
0,2,mouse,2,473,1020,N,1
0,2,mouse,3,474,1021,SE,1
0,2,mouse,4,481,1014,SW,1
0,802,cat,0,11,698,0,0
0,802,cat,1,24,698,N,1
0,802,cat,2,13,687,SE,1
0,802,cat,3,26,674,NE,1
0,802,cat,4,997,645,SE,1
0,802,cat,5,985,657,SW,1
0,802,cat,6,982,654,SE,1
0,802,cat,7,983,654,N,1
0,3,mouse,0,333,981,0,0
0,3,mouse,1,332,982,NE,0
0,3,mouse,2,314,964,NW,0
0,803,cat,0,375,161,0,0
0,803,cat,1,360,176,SW,0
0,803,cat,2,368,168,NE,0
0,803,cat,3,390,146,NE,0
0,803,cat,4,411,167,NW,0
0,803,cat,5,439,195,NW,0
0,803,cat,6,488,244,NW,0
0,803,cat,7,507,225,NE,0
0,4,mouse,0,793,227,0,0
0,4,mouse,1,792,226,NW,0
0,4,mouse,2,791,225,NW,0
0,4,mouse,3,790,224,NW,0
0,4,mouse,4,789,223,NW,0
0,4,mouse,5,788,223,N,0
0,4,mouse,6,787,223,N,0
0,4,mouse,7,786,223,N,0
0,804,cat,0,811,969,0,0
0,804,cat,1,810,968,SE,0
0,804,cat,2,809,967,SE,0
0,804,cat,3,808,968,SW,0
